order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD100849,ID3213448207,2019-02-21,Thompson,"[('iStream', 2), ('Alcon 10', 2), ('pearTV', 1), ('Thunder line', 1)]",26690,101.1,-37.8006398,144.95762030000003,0,26791.1,Summer,True,1.8309,i like them all and in fact i just received the ... i like them all and in fact i just received the laptop battery today but i think i t will be okay.,True
ORD466710,ID0247417830,2019-12-27,Nickolson,"[('pearTV', 1), ('iAssist Line', 1)]",8535,66.03,-37.8177271,144.96904909999995,5,8174.28,Summer,True,0.1062,"great phone for the price! so far i am very happy with this phone. it has all the features i need, good build quality and having extra battery capacity makes it alot more convenient.",True
ORD239216,ID1445498733,2019-02-16,Bakers,"[('Universe Note', 2), ('Toshika 750', 1)]",11220,77.07,-37.8168593,144.98511530000005,0,11297.07,Summer,False,1.1727,it’s awesome,True
ORD245693,ID0452381181,2019-11-07,Thompson,"[('pearTV', 1), ('Candle Inferno', 1)]",6740,80.97,-37.8250247,144.9494574,25,5135.97,Spring,False,1.3909,check to make sure it works in your area good ph but wouldnt work in mt so check with carrier to make sure before orderin . however if you goof like i did net 10 will fix it by sending a new one with mailer for you to mail it back to them just delays activation,True
ORD173679,ID0420022676,2019-12-16,Bakers,"[('Toshika 750', 2), ('Universe Note', 1), ('Candle Inferno', 2), ('Lucent 330S', 2)]",15410,50.31,-37.8105086,144.99600900000004,5,14689.81,Summer,False,0.089,phone doesn't work well!! phone won't stay turned on - not a great phone.,False
ORD203503,ID0702376274,2019-01-26,Thompson,"[('Candle Inferno', 2), ('iAssist Line', 2)]",5310,95.36,-37.805154,144.9411959,5,5139.86,Summer,False,0.9836,"five stars best android out there, in really good condition and had a spotless screen/back",True
ORD250149,ID0310728586,2019-02-11,Thompson,"[('Olivia x460', 1), ('pearTV', 2)]",13845,78.64,-37.8128773,144.93727019999997,10,12539.14,Summer,False,0.862,"crashes randomly, poor quality phone third pixel xl with hardware problems. crashes randomly",False
ORD308490,ID2213981043,2019-01-03,Bakers,"[('Olivia x460', 1), ('iAssist Line', 1), ('Thunder line', 2)]",7810,62.52,-37.80497800000001,144.9832597,25,5920.02,Summer,False,1.1919,"pear alcon xs max sorry, this video is unsupported on this browser.  phone arrived and screen was flickering . there is no way the seller did not know about this issue . phone was still under warranty and took it to pear to be repaired . disappointed that i had to take time to take it to pear to have it repaired . not a trustworthy seller at all",False
ORD064341,ID0331420064,2019-12-15,Bakers,"[('Toshika 750', 1), ('Universe Note', 1), ('iAssist Line', 1), ('iStream', 1)]",10145,98.14,-37.8203354,145.0017179,25,7706.89,Summer,True,1.2845,five stars so far works great,True
ORD192758,ID1479930075,2019-02-17,Thompson,"[('iAssist Line', 1), ('pearTV', 1), ('Candle Inferno', 2)]",9395,97.78,-37.8209917,144.9550047,25,7144.03,Summer,True,1.1595,,True
ORD430213,ID2384091391,2019-01-22,Nickolson,"[('Lucent 330S', 2), ('iAssist Line', 2), ('Universe Note', 2)]",13810,90.26,-37.81499779999999,144.9720111,10,12519.26,Summer,True,0.4551,"dual sim works great bought this phone for the dual sim feature. it works very well and is pretty much automatic. used it for travels in europe: my sim for calls and texts, local sim for data. finger print feature isn't very good, but just updated the software so may be better.",True
ORD487628,ID0781093481,2019-05-11,Thompson,"[('Candle Inferno', 2), ('Lucent 330S', 2), ('Universe Note', 1)]",6770,81.09,-37.8031001,144.94953600000005,5,6512.59,Autumn,True,1.0875,love this phone i really like this phone. it has better reception than my last phone. less dropped calls and clearer voice reception. like the size and how easily it opens. i am even getting used to the pink color.,False
ORD085907,ID0711331416,2019-10-12,Thompson,"[('Alcon 10', 1), ('Universe Note', 2), ('iAssist Line', 1)]",9555,78.34,-37.80716,144.95652969999998,0,9633.34,Spring,False,1.0339,five stars very good cell phones everthing that i need and wanted .,True
ORD303056,ID0224750259,2019-02-13,Bakers,"[('Toshika 750', 1), ('Thunder line', 2)]",8680,77.93,-37.80376210000001,144.9798642,25,6587.93,Summer,False,1.5193,five stars awesome,True
ORD093302,ID1668523273,2019-07-07,Nickolson,"[('Candle Inferno', 1), ('Toshika 750', 2), ('Universe Note', 1)]",12520,77.37,-37.8209026,144.9623358,10,11345.37,Winter,True,0.6845,amazing value the lucent g series has been my go-to for several years now. the value is immense,True
ORD087731,ID1479897552,2019-01-27,Nickolson,"[('Lucent 330S', 2), ('iStream', 1)]",2610,74.74,-37.8202414,144.9576895,10,2423.74,Summer,False,1.059,top 10 works as advertised,True
ORD328556,ID0576830130,2019-01-16,Nickolson,"[('Lucent 330S', 1), ('pearTV', 1), ('Alcon 10', 2), ('iStream', 2)]",25740,77.63,-37.82070020000001,144.9849092,10,23243.63,Summer,True,1.3707,"overall product good, battery performance is not good. i am really satisfied with the product, but need to compromise with battery.",True
ORD096130,ID0248746699,2019-12-04,Bakers,"[('Alcon 10', 2), ('Lucent 330S', 2), ('iStream', 1), ('Candle Inferno', 1)]",20940,52.57,-37.8117158,144.99209419999997,0,20992.57,Summer,False,0.3359,"horrible no hay un telf olivia que compre en digico q me salga de buena calidad ya eh comprado 3 y uno vino con el lector de huella rallado,al otro lo compré para enviárselo a mi familia en cuba y se les explotó la batería y este no te permite hacer actualización y la batería está pésima en fin son una desgracia estos telf reacondicionados",False
ORD026408,ID2181268853,2019-04-20,Nickolson,"[('Universe Note', 2), ('pearTV', 1), ('Thunder line', 2)]",17570,79.79,-37.810582,144.9605678,0,17649.79,Autumn,True,1.1915,"five stars so good so far for its price, processor is good",True
ORD432168,ID1449431579,2019-07-24,Nickolson,"[('Toshika 750', 1), ('Thunder line', 2)]",8680,62.13,-37.81605020000001,144.97231509999995,5,8308.13,Winter,False,0.3733,"long battery life & perfect size i love my lucent g6, especially the long battery life",True
ORD277098,ID2213981044,2019-05-06,Bakers,"[('Alcon 10', 1), ('iAssist Line', 1)]",11175,53.36,-37.7998319,144.98414419999995,10,10110.86,Autumn,False,1.4937,worst phone ever made by a phone company this is the worst phone ever do not buy. olivia should be ashamed and will do more research before buying a new phone.,False
ORD119719,ID6167289285,2019-11-09,Nickolson,"[('iAssist Line', 2), ('Alcon 10', 2), ('Toshika 750', 1), ('Lucent 330S', 2)]",29130,90.02,-37.81044179999999,144.9614008,10,26307.02,,True,1.1565,windows phone. enough said. no youtube or instagram ... windows phone. enough said. no youtube or instagram.,False
ORD321925,ID0317729767,2019-09-16,Thompson,"[('pearTV', 2), ('iAssist Line', 1), ('Thunder line', 1)]",17025,87.27,-37.8094124,144.95627040000005,25,12856.02,Spring,True,0.8869,phone stopped functioning after couple weeks used for (3) weeks. after two weeks camera started making noise. after (3) weeks screen went completely black. phone is working based indicator light and notification vibration but screen is completely black and not working. this can't be a new phone as advertised.,False
ORD421417,ID2935371916,2019-12-27,Bakers,"[('Olivia x460', 1), ('Alcon 10', 1), ('Universe Note', 1), ('Lucent 330S', 2)]",16085,100.98,-37.8248484,144.9914158,15,13773.23,Summer,True,1.687,best phone for a good price this phone is truly amazing it works how i expected it to work the spen is flawless the camera is great the software is great as well great phone overall the only thing i'm not too crazy about is my back housing it's all scratched up but i'm good,True
ORD034179,ID0035726391,2019-06-08,Thompson,"[('Universe Note', 1), ('iAssist Line', 2), ('Olivia x460', 2), ('Candle Inferno', 1)]",10780,68.79,-37.80942039999999,144.93167069999996,25,8153.79,,False,1.4018,great phone with amazing battery life! love my phone! upgraded from olivia 7 edge. faster and great battery life. only complaint is no wifi calling since its unlocked.,True
ORD298418,ID3961293508,2019-01-10,Nickolson,"[('Candle Inferno', 2), ('iStream', 2), ('pearTV', 2), ('Alcon 10', 2)]",31680,97.79,-37.8082762,144.9631593,10,28609.79,Summer,True,1.2788,still learning to use it in its full glory what i have seen so far i love it! verizon's plans are kind of expensive though. haven't figured out an easy way to carry it around.,True
ORD079120,ID0576757230,2019-03-21,Thompson,"[('Thunder line', 1), ('Alcon 10', 1), ('iStream', 1)]",11280,79.5,-37.8019187,144.9563717,0,11359.5,Autumn,True,1.45,"good first i pad works great, looks like new. bought for my mom, it’s her first tablet. she is getting used to it and likes it.",True
ORD243984,ID3189789224,2019-07-31,Nickolson,"[('Thunder line', 1), ('Olivia x460', 2), ('iAssist Line', 1), ('Toshika 750', 1)]",11175,84.2,-37.7999175,144.9690896,10,10141.7,Winter,True,2.0795,"i bought this for my wife. she had a barnes and noble nook, this took it's place. she uses the candle inferno daily from reading books and playing games to looking up things on the web. she lives it.",True
ORD323106,ID2188404536,2019-09-25,Nickolson,"[('Olivia x460', 1), ('Universe Note', 2)]",8125,100.13,-37.8129363,144.9675789,5,7818.88,Spring,True,0.6533,"amazing bought! i love my new cellphone amazing bought! i love my new cellphone, i used to have alcon and now that i changed of brand i am very happy cause its cheaper but amazing quality and easy to use",True
ORD332392,ID2005895255,2019-04-28,Nickolson,"[('iAssist Line', 1), ('Olivia x460', 1), ('iStream', 1)]",3600,70.77,-37.802124600000006,144.9659489,5,3490.77,Autumn,False,1.8606,cheap and accurate perfect phone,True
ORD452215,ID3167693144,2019-04-25,Thompson,"[('iStream', 1), ('Toshika 750', 2), ('iAssist Line', 1), ('Lucent 330S', 1)]",12245,69.21,-37.80121610000001,144.9629847,10,11089.71,Autumn,True,1.8937,"perfect phone i love this phone. it's very fast, the sound is amazing, everything runs so smooth. this is by far the best phone i've had in a long time!",True
ORD003265,ID0301544536,2019-06-29,Thompson,"[('iStream', 1), ('Olivia x460', 1)]",1375,65.72,-37.8199086,144.9507783,0,1440.72,Winter,False,0.869,five stars best phone ever. rugged loud wish they still made these.,True
ORD478459,ID0253027643,2019-06-19,Thompson,"[('iAssist Line', 1), ('Universe Note', 2), ('Thunder line', 1), ('Olivia x460', 2)]",13755,53.25,-37.8245451,144.9469959,25,10369.5,Winter,True,1.3216,"almost dead batteries after full charging, the phone worked for only 10 hours (in sleep mode !!!)",False
ORD152390,ID6202471428,2019-08-18,Nickolson,"[('Alcon 10', 1), ('Olivia x460', 1), ('Candle Inferno', 2), ('pearTV', 1)]",17345,67.03,-37.8221003,144.9806504,5,16544.78,Winter,True,1.0511,"too much bloatware! too much bloatware i'll never use and can't delete. it's always wanting to update and load my memory w junk. pay attn olivia! not all users are young and always on public sharing sites. the phone works well for me...intuitive, easy to use.",True
ORD262106,ID0591354710,2019-03-08,Thompson,"[('Universe Note', 1), ('iStream', 1), ('Alcon 10', 1), ('pearTV', 1)]",18860,52.38,-37.8229244,144.95481850000004,25,14197.38,Autumn,True,1.3291,defective phone received the phone and home button and keyboard was faulty... you can get around using accessibility option but the fact that this was completely left out of the description is unacceptable... returning product,False
ORD441774,ID0664378722,2019-04-19,Nickolson,"[('Universe Note', 2), ('Thunder line', 1)]",9080,64.31,-37.82052570000001,144.9663989,25,6874.31,Autumn,False,0.3507,love it except for all the factory apps have had it for a few months. love it except for all the factory apps. they are a pain in the arse!,True
ORD359377,ID0282825807,2019-01-10,Thompson,"[('Alcon 10', 1), ('pearTV', 2), ('Toshika 750', 2)]",30210,81.29,-37.802422,144.94869340000002,10,27270.29,Summer,True,1.15,my phone barely got any water on it and now ... my phone barely got any water on it and now its broken. 1 week later of buying it.... if you are going to make a 1100 phone at least make it a little water durable...,True
ORD026775,ID0282825785,2019-09-13,Thompson,"[('Toshika 750', 2), ('iStream', 2)]",8940,79.44,-37.8027845,144.9504177,10,8125.44,Spring,False,1.1395,good need to get it set up,False
ORD077868,ID0250480014,2019-01-27,Bakers,"[('Candle Inferno', 1), ('Lucent 330S', 2)]",2890,78.56,-37.8120271,145.0049929,15,2535.06,Summer,True,0.8877,decent product. not so much if you're used to android software. you can't get your photos saved in google. more than half of my music collection vanished once the memory card was inserted. basicly have to hack the thing to get any apps outside of digico and then reliability is poor. exchanged it for am android tablet,False
ORD091257,ID6282173382,2019-06-02,Nickolson,"[('pearTV', 2), ('Toshika 750', 1), ('Universe Note', 2)]",23840,62.86,-37.8232224,144.9765859,0,23902.86,Winter,False,0.805,legit not disappointed with what i paid for,True
ORD173372,ID0581760975,2019-07-27,Thompson,"[('pearTV', 1), ('Toshika 750', 2), ('Candle Inferno', 2), ('Lucent 330S', 1)]",17040,70.09,-37.8044873,144.92905480000005,10,15406.09,Winter,False,1.8277,i absolutely love this phone it's exactly what i had expected and then some! i absolutely love this phone! i still haven't gotten through every feature yet so it's like a surprise everyday!,True
ORD120299,ID3208517860,2019-05-18,Nickolson,"[('Lucent 330S', 1), ('pearTV', 1), ('Universe Note', 2)]",14440,69.82,-37.8009108,144.9738083,0,14509.82,Autumn,True,2.0038,alcon 7 plus great phone for the price. looks and functions like new.,True
ORD395638,ID0547568785,2019-11-14,Bakers,"[('iAssist Line', 2), ('pearTV', 2)]",17070,100.68,-37.8127465,144.9884014,10,15463.68,Spring,True,0.6742,5 stars!!! i love my phone i am extremely happy with it it froze once but that was it other than that i haven't had any issues with it.,True
ORD138943,ID0844496533,2019-08-17,Thompson,"[('Universe Note', 1), ('Olivia x460', 1)]",4675,77.37,-37.820274,144.9495398,0,4752.37,Winter,True,0.8736,"battery life, plenty of memory after having a olivia 7 this cell phone is amazing, plenty of memory, the battery life is amazing, i'm a mom so i love taking g pictures of my kids and the quality is great!",True
ORD089099,ID0174812848,2019-12-22,Nickolson,"[('pearTV', 1), ('iAssist Line', 2), ('Candle Inferno', 1)]",11190,90.2,-37.8153015,144.9652044,5,10720.7,Summer,True,0.5296,"really great phone great looking phone, been using it a week with no issues. miui is a really nice android skin.",True
ORD323510,ID0227770487,2019-03-01,Bakers,"[('Thunder line', 1), ('iAssist Line', 1), ('Alcon 10', 2)]",22305,78.57,-37.8014407,144.98510480000004,10,20153.07,,False,1.304,it’s just a brand new phone i can say it’s one of the best phone it really look like new though no headphone but it came with charger 🔌 and it’s pretty new no scratches whatsoever thanks to the seller o recommend this seller for the best phone however.....,True
ORD217668,ID0301545280,2019-09-24,Thompson,"[('Thunder line', 1), ('Lucent 330S', 1), ('Toshika 750', 2)]",12050,88.74,-37.8125275,144.93620890000005,10,10933.74,Spring,True,0.9552,scam scam,False
ORD056832,ID0591430025,2019-10-17,Nickolson,"[('Thunder line', 2), ('Olivia x460', 2), ('Candle Inferno', 1)]",7240,81.06,-37.81849370000001,144.9642026,0,7321.06,Spring,False,0.4705,this phone is not verizon compatible! the side of ... this phone is not verizon compatible! the side of the package says unlk/t-mobile. tried to activate it anyways and it couldn't be.,False
ORD267427,ID1960476817,2019-10-21,Thompson,"[('Thunder line', 2), ('Lucent 330S', 1)]",5590,75.34,-37.8179188,144.95118259999995,15,4826.84,Spring,False,0.6869,three stars nice,True
ORD298314,ID2305963360,2019-04-27,Bakers,"[('Toshika 750', 1), ('Lucent 330S', 2), ('Candle Inferno', 2), ('Olivia x460', 2)]",10090,68.62,-37.825352,145.00337230000005,5,9654.12,Autumn,False,1.8532,five stars i bought this for my son and he loves it,True
ORD077359,ID0443530296,2019-11-30,Bakers,"[('Thunder line', 1), ('Candle Inferno', 1), ('Olivia x460', 1)]",3835,88.1,-37.81497529999999,145.0045748,5,3731.35,Spring,True,0.9911,first day after purchasing the tablet the screen turned green. since then it has given us problems with the screen turning green. i will be returning the item.,False
ORD061279,ID4315827361,2019-11-23,Bakers,"[('Lucent 330S', 1), ('Olivia x460', 1), ('Universe Note', 2), ('Thunder line', 1)]",11535,75.44,-37.810602,145.00082680000003,25,8726.69,Spring,False,0.4966,five stars better than the 7 i have both,True
ORD392749,ID0582798753,2019-04-19,Nickolson,"[('Toshika 750', 1), ('Alcon 10', 2), ('iStream', 2), ('Candle Inferno', 1)]",22950,65.2,-37.8233376,144.9791279,25,17277.7,Autumn,True,0.9939,"one star one oh the cellphones charging port doesnt work, what can we do?",False
ORD292921,ID4740822068,2019-08-23,Thompson,"[('iStream', 2), ('pearTV', 1)]",6610,78.37,-37.8035731,144.9497003,10,6027.37,Winter,True,1.0391,this product met my needs perfectly. it was easy to set up and portable to use anywhere.,True
ORD356540,ID5556316832,2019-05-09,Thompson,"[('Alcon 10', 1), ('Thunder line', 1)]",11130,83.42,-37.8084185,144.9234256,15,9543.92,Autumn,True,2.1326,five stars love the new phone!,True
ORD148580,ID4312130285,2019-05-17,Bakers,"[('iAssist Line', 2), ('pearTV', 1), ('iStream', 1)]",10910,65.69,-37.8201996,144.9921034,5,10430.19,Autumn,False,1.1687,lucentrola c168i it is just a basic phone and is an effective phone for people who do not need a lot of features. the size is good.,True
ORD482015,ID5636125217,2019-12-31,Bakers,"[('Thunder line', 1), ('pearTV', 1), ('iStream', 2), ('Toshika 750', 1)]",13110,96.3,-37.8164722,145.0041737,10,11895.3,Summer,True,1.0668,was leary about refurbished but work great.,True
ORD252842,ID0634777174,2019-10-13,Thompson,"[('Candle Inferno', 1), ('iStream', 1)]",580,84.79,-37.814417,144.9388882,25,519.79,Spring,True,0.7452,do not waste your money the song they sent me continuously restarts out of nowhere and when i called they said that they couldn't replace it and i have to send it back with an inconvenience i would not buy this phone at all i would hop into buying a factory unlocked olivia universe note 5,False
ORD102952,ID1224854722,2019-04-16,Thompson,"[('Toshika 750', 2), ('pearTV', 1)]",14950,62.84,-37.813603,144.9401868,10,13517.84,Autumn,False,0.614,five stars good phone,True
ORD367732,ID0030946626,2019-12-07,Nickolson,"[('Candle Inferno', 1), ('Lucent 330S', 2)]",2890,80.05,-37.8045551,144.9717143,0,2970.05,Summer,False,1.5744,"they ship on time no scratches, works great, would recommend",True
ORD352973,ID2422392864,2019-01-27,Thompson,"[('Olivia x460', 1), ('Lucent 330S', 2), ('iStream', 2)]",3985,68.82,-37.8001964,144.93381340000005,0,4053.82,Summer,False,1.8133,"bad buy first of all it is not unlocked. can not even use for at&t , so do not spend money on this. also phone is not charging well . i have to push hard by connection. plus point is it is new but no use to me. not worth of returning.",False
ORD287155,ID6167344595,2019-05-07,Nickolson,"[('Olivia x460', 2), ('Toshika 750', 2), ('pearTV', 1)]",17400,62.65,-37.8120814,144.9707261,0,17462.65,Autumn,False,0.7324,bad seller my recent button doesn't work properly,False
ORD057659,ID6167236654,2019-11-19,Nickolson,"[('iAssist Line', 1), ('Olivia x460', 2)]",4675,63.6,-37.8121507,144.96228469999997,25,3569.85,Spring,False,0.9607,charger did not fit the charger didn't fit.,False
ORD208449,ID0746912535,2019-06-28,Nickolson,"[('Lucent 330S', 1), ('Thunder line', 1), ('Alcon 10', 2)]",21310,52.27,-37.8257254,144.9828503,10,19231.27,Winter,False,1.4134,"two stars the battery is always hot whenever am charging, it is frustrating. bought it in may 2018",False
ORD323337,ID0780909095,2019-12-23,Thompson,"[('Universe Note', 1), ('Olivia x460', 1), ('Candle Inferno', 1), ('Thunder line', 1)]",7285,78.19,-37.8035792,144.9563362,15,6270.44,Summer,False,1.2996,"best phone i have ever used the same quality as alcon, but only 1/4 price",True
ORD324161,ID3790949312,2019-03-25,Thompson,"[('Lucent 330S', 1), ('pearTV', 2)]",13850,66.44,-37.8052871,144.9369256,25,10453.94,Autumn,False,1.2809,great item love it,True
ORD393783,ID2975262285,2019-09-29,Bakers,"[('Candle Inferno', 1), ('Olivia x460', 2), ('Universe Note', 2)]",9780,83.02,-37.8237139,144.9971719,15,8396.02,Spring,False,1.5365,four stars like the phone works well,True
ORD387581,ID0767594382,2019-03-01,Nickolson,"[('Toshika 750', 2), ('iStream', 1), ('Alcon 10', 2)]",26690,80.6,-37.8070286,144.9709445,5,25436.1,Autumn,True,1.4848,had a smaller version. love the bigger screen. use this product more than a computer.,True
ORD198191,ID2187770688,2019-10-13,Nickolson,"[('Lucent 330S', 2), ('pearTV', 2), ('Candle Inferno', 2), ('Thunder line', 1)]",18120,101.41,-37.8115103,144.9646963,10,16409.41,Spring,True,0.8968,five stars works great glad i found it.,True
ORD195946,ID1686719004,2019-09-25,Thompson,"[('pearTV', 2), ('Thunder line', 2), ('iStream', 2), ('Alcon 10', 1)]",26230,106.77,-37.8012202,144.95523400000005,5,25025.27,Spring,True,1.4632,"not much to say here. cheap, fast and very functional. i was able to install google play store and everything works perfectly. best tablet in its category. if you want something better, you better be ready to pay 3-4 times the price.",True
ORD431551,ID0174792823,2019-10-16,Nickolson,"[('Toshika 750', 2), ('iAssist Line', 2), ('Universe Note', 1), ('Olivia x460', 2)]",18990,58.93,-37.81473070000001,144.96525219999995,25,14301.43,Spring,False,0.272,"just a series of problems. phone advertised as unlocked, but wouldn't receive texts on any other network. then, the speaker stopped working after a couple weeks due to a defect. never again.",False
