order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD192339,ID0387153038,2019-02-23,Thompson,"[('Candle Inferno', 2), ('Olivia x460', 1), ('Lucent 330S', 2)]",4545.0,79.26,-37.798676,144.94880859999995,15,3942.51,Summer,False,1.5656,super fun !! i ty is what i was expecting,1.0
ORD133781,ID1449285285,2019-04-03,Bakers,"[('Olivia x460', 1), ('Universe Note', 2), ('Toshika 750', 1)]",12445.0,52.17,-37.8161362,144.98350269999997,10,11252.44,Autumn,False,1.2374,"not pleased not real pleased with the phone. i lose calls, cant text and lose service even in my home where i have always had service using prior phones. i will never buy another refurbished phone again.",0.0
ORD240710,ID0252588540,2019-02-16,Nickolson,"[('Olivia x460', 2), ('pearTV', 2), ('Universe Note', 2)]",21970.0,71.28,-37.82097260000001,144.9762569,5,20942.53,Summer,False,0.6464,"quite nice...clear, great sound.",1.0
ORD144332,ID5001030333,2019-04-22,Thompson,"[('Alcon 10', 2), ('Universe Note', 1)]",21350.0,77.09,-37.8113191,144.9528176,15,18224.59,Autumn,True,0.5276,"great , love it.",1.0
ORD182320,ID0054560946,2019-10-26,Nickolson,"[('Lucent 330S', 1), ('iStream', 2), ('Thunder line', 2), ('Alcon 10', 1)]",14840.0,105.19,-37.8231549,144.9824744,15,12719.19,Spring,True,1.2446,"love it should have chosen the 8plus but the s8 is awesome , had a little hiccup but my tech guy got it all squared off. i am enjoying my phone alot.",1.0
ORD073947,ID0781120997,2019-02-18,Bakers,"[('Lucent 330S', 2), ('iAssist Line', 2)]",6910.0,90.93,-37.80386970000001,144.9974622,0,7000.93,Summer,True,0.7096,"five stars i love my phone, i have to admit its big but i love it.",1.0
ORD257063,ID1449285256,2019-01-01,Nickolson,"[('Universe Note', 2), ('Thunder line', 2)]",11260.0,83.64,-37.8160865,144.98268259999998,25,8528.64,Summer,True,1.1867,waste of money i bought this for my 11 year old son who is out of state. the phone worked for 2 days and then would not charge. another one was sent out 2 days later and would not even turn on! do not waste your money!,0.0
ORD222664,ID3961293511,2019-03-09,Nickolson,"[('Thunder line', 2), ('Candle Inferno', 1)]",4790.0,82.51,-37.8317585,144.9649035,0,4872.51,Autumn,True,1.5196,"great value!! amazing product. came with no scratches, marks, nothing! good as new!!!",1.0
ORD400286,ID0369109134,2019-01-31,Nickolson,"[('Alcon 10', 2), ('Thunder line', 2), ('iStream', 1), ('Universe Note', 2)]",29310.0,68.41,-37.82127910000001,144.96718130000005,5,27912.91,Summer,False,0.3643,five stars love love love this phone! great price! was easy enough to set up with a sim card!,1.0
ORD228757,ID0385165473,2019-10-22,Bakers,"[('iStream', 2), ('Toshika 750', 1), ('Alcon 10', 1), ('Thunder line', 1)]",15750.0,108.51,-37.8006258,144.98197199999996,25,11921.01,Spring,True,1.5646,worth the price i purchased it for my mom she really enjoys it and she has always wanted a phone like that,1.0
ORD298242,ID6167441017,2019-08-22,Thompson,"[('Universe Note', 1), ('Lucent 330S', 2), ('iStream', 2)]",6210.0,65.2,-37.8072334,144.9597926,5,5964.7,Winter,True,1.2723,"two stars i have some problems with the program, comes on black the screen.",0.0
ORD284738,ID3204395231,2019-06-25,Thompson,"[('Alcon 10', 1), ('iAssist Line', 1), ('Universe Note', 2), ('Thunder line', 1)]",20255.0,75.41,-37.8075427,144.9479927,5,19317.66,Winter,True,0.5769,"bang for the buck pretty good cellphone for the price. big screen, good ram and storage space. it came with a case and a 128g micro sd for free.",1.0
ORD162155,ID0031477168,2019-12-21,Bakers,"[('Thunder line', 2), ('pearTV', 1), ('Alcon 10', 2)]",28570.0,69.5,-37.7983344,144.9784699,15,24354.0,Summer,False,1.9643,one star heats up in seconds. dangerous phone.,0.0
ORD328523,ID0448076958,2019-04-24,Nickolson,"[('Lucent 330S', 2), ('Olivia x460', 2), ('iStream', 1)]",5060.0,70.86,-37.79938,144.9730048,25,3865.86,Autumn,False,2.1604,i like it hard to adjust from an alcon i'm starting to like it more though,1.0
ORD106225,ID0054396941,2019-08-27,Thompson,"[('Alcon 10', 2), ('Olivia x460', 1), ('Thunder line', 2), ('Universe Note', 2)]",30385.0,68.06,-37.8000242,144.94871630000003,5,28933.81,Winter,False,1.4155,five stars great phone no problems what so ever highly recommend.,1.0
ORD039316,ID0767733205,2019-03-22,Nickolson,"[('iAssist Line', 1), ('Alcon 10', 1)]",11175.0,81.56,-37.8048808,144.9705639,5,10697.81,Autumn,True,1.5292,"excellent service arrived earlier than expected. very happy with the product. no issues whatsoever. this allows you to use sim cards from other countries too, so don't worry about that.",1.0
ORD495399,ID4283908129,2019-12-24,Bakers,"[('Candle Inferno', 2), ('Universe Note', 2), ('iStream', 2)]",8060.0,62.17,-37.8089287,144.98256919999997,0,8122.17,Summer,False,1.1187,"not working having issues logging into the router. the default passwords do not work, even after resetting the device.",0.0
ORD039240,ID1900213541,2019-05-15,Thompson,"[('Olivia x460', 1), ('Toshika 750', 2), ('iAssist Line', 1)]",12090.0,52.27,-37.8064174,144.9613443,25,9119.77,Autumn,False,1.4357,it is good to have this as a backup. lags performance eventually. not worth for the money.,0.0
ORD418009,ID6167231024,2019-02-19,Thompson,"[('Universe Note', 2), ('Thunder line', 2)]",11260.0,76.9,-37.8145328,144.9549349,10,10210.9,Summer,True,0.7221,less voice volume and wifi issues speaker phone is tooo low. call voice is very less audible. phased lot of problems while talking on this phone. wifi disconnects frequently. inspite of doing factory reset and other suggestions by lucent customer care it did not work. so returning,0.0
ORD327452,ID0591432775,2019-05-21,Nickolson,"[('pearTV', 2), ('iStream', 2), ('Thunder line', 1), ('Universe Note', 1)]",18550.0,63.72,-37.8195302,144.9637571,0,18613.72,Autumn,False,0.5194,simple to use great phone,1.0
ORD244750,ID0356099212,2019-08-06,Bakers,"[('Lucent 330S', 2), ('Candle Inferno', 1)]",2890.0,65.76,-37.8198767,144.9917718,15,2522.26,Winter,False,1.1412,purchased on black friday deal for $59.99. good buy! not ipad quality but a fraction of the price and nice for watching gold videos and normal apps. would purchase at standard price also as a fun extra tablet.,1.0
ORD179588,ID0580186550,2019-10-10,Thompson,"[('Alcon 10', 2), ('Olivia x460', 1), ('Universe Note', 1), ('Lucent 330S', 2)]",25035.0,88.23,-37.7998828,144.92727050000005,10,22619.73,Spring,False,2.2493,very good service i like unlock phone and comes with charger.,1.0
