order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD364372,ID4061053476,2019-07-04,Bakers,"[('Olivia x460', 1), ('Alcon 10', 1), ('Candle Inferno', 2)]",11035,32.33874999999999,-37.8100093,144.9957902,5,10513.76,Winter,False,0.0491,five stars works great,True
ORD331116,ID0387152924,2019-11-11,Thompson,"[('Olivia x460', 2), ('Lucent 330S', 2)]",4910,75.25,-37.80614050000001,144.94491580000005,25,3757.75,Spring,False,0.7515,are these reviewers talking about the same phone? most people talk of how great the phone is but there are a few who claims it is not a good phone? i decide to buy it anyways hoping that i will like it. update: data does not work with at&t.,True
ORD201531,ID0781093347,2019-12-19,Thompson,"[('iAssist Line', 1), ('Toshika 750', 1), ('Candle Inferno', 1)]",6975,96.04,-37.8030545,144.94913390000005,10,6373.54,Summer,True,1.086,"great price! great price on a black friday deal! phone held up really well for about 2 yrs. brand new? refurbished? can't tell, don't care, either way it was a great deal.",True
ORD193586,ID0767746315,2019-11-12,Nickolson,"[('iStream', 1), ('Thunder line', 1), ('Toshika 750', 1), ('Alcon 10', 1)]",15600,109.96,-37.8037808,144.97373159999995,25,11809.96,Spring,True,1.6896,cool little speaker..i love her alarms and connected it to my speakers and it sounds great!!,True
ORD112077,ID2442297414,2019-01-27,Thompson,"[('Toshika 750', 2), ('Universe Note', 1), ('Lucent 330S', 1), ('iAssist Line', 1)]",15545,72.34,-37.8176281,144.95212560000004,0,15617.34,Summer,False,0.7085,love better than expected. really good phone. the cameras ate really good and it runs well haven't had any issues with it so far. only complaint is that it charges slow but that could just be my charger.,True
ORD344103,ID5058108334,2019-05-11,Nickolson,"[('Thunder line', 2), ('Toshika 750', 2), ('pearTV', 1), ('Alcon 10', 2)]",37210,47.91,-37.8234977,144.9687022,15,31676.41,Autumn,False,0.5508,two stars looks different from what i got. first time buying didn't meet my expectation,False
ORD007274,ID0163643138,2019-03-26,Nickolson,"[('pearTV', 1), ('Candle Inferno', 2)]",7170,68.37,-37.8272523,144.9845107,25,5445.87,Autumn,False,1.6307,awesome this phone is awesome and there's so much to do to customize it. i recommend this phone to any and everyone.,True
ORD404143,ID0611991915,2019-11-06,Thompson,"[('Lucent 330S', 2), ('iAssist Line', 1), ('Thunder line', 2)]",9045,105.12,-37.802901,144.95502130000003,25,6888.87,Spring,True,1.2933,brand new exactly as described. i will definitely buy again.,True
ORD375496,ID4998966832,2019-08-02,Nickolson,"[('Olivia x460', 2), ('Toshika 750', 2), ('iStream', 2)]",11390,63.67,-37.809775,144.97240109999996,10,10314.67,Winter,True,1.0133,"it's not worth it. it's slow. yes, it's a budget phone but better to buy a used one than this. it's too damn slow and weak overall in its gpu. try literally anything else.",False
ORD301133,ID6167191171,2019-06-21,Nickolson,"[('iAssist Line', 1), ('Candle Inferno', 1), ('Lucent 330S', 2), ('Olivia x460', 2)]",7565,64.68,-37.8169705,144.9610493,5,7251.43,Winter,False,0.7692,five stars perfect!,True
